ID_PI,KPI,PI,Gebied,Eenheid,Ref_value_month_2,Ref_value_month_0,Ref_value_month_minus2,Date,Value,Score,Abs
3,Ecologie,Algemene fysisch-chemische parameters,NL95_1A,[-],0,0,0,2010,0,0.5,0
3,Ecologie,Algemene fysisch-chemische parameters,NL95_1A,[-],0,0,0,2011,0,0.5,0
3,Ecologie,Algemene fysisch-chemische parameters,NL95_1A,[-],0,0,0,2012,0,0.2,0
3,Ecologie,Algemene fysisch-chemische parameters,NL95_1A,[-],0,0,0,2013,0,0.1,0
3,Ecologie,Algemene fysisch-chemische parameters,NL95_1A,[-],0,0,0,2014,0,0.5,0
3,Ecologie,Algemene fysisch-chemische parameters,NL95_2A,[-],0,0,0,2009,0,0.3,0
3,Ecologie,Algemene fysisch-chemische parameters,NL95_2A,[-],0,0,0,2010,0,0.5,0
3,Ecologie,Algemene fysisch-chemische parameters,NL95_2A,[-],0,0,0,2011,0,0.5,0
3,Ecologie,Algemene fysisch-chemische parameters,NL95_2A,[-],0,0,0,2012,0,0.5,0
3,Ecologie,Algemene fysisch-chemische parameters,NL95_2A,[-],0,0,0,2013,0,0.7,0
3,Ecologie,Algemene fysisch-chemische parameters,NL95_2A,[-],0,0,0,2014,0,0.5,0
3,Ecologie,Algemene fysisch-chemische parameters,NL95_3A,[-],0,0,0,2009,0,0.3,0
3,Ecologie,Algemene fysisch-chemische parameters,NL95_3A,[-],0,0,0,2010,0,0.7,0
3,Ecologie,Algemene fysisch-chemische parameters,NL95_3A,[-],0,0,0,2011,0,0.5,0
3,Ecologie,Algemene fysisch-chemische parameters,NL95_3A,[-],0,0,0,2012,0,0.7,0
3,Ecologie,Algemene fysisch-chemische parameters,NL95_3A,[-],0,0,0,2013,0,0.2,0
3,Ecologie,Algemene fysisch-chemische parameters,NL95_3A,[-],0,0,0,2014,0,0.3,0
3,Ecologie,Algemene fysisch-chemische parameters,NL95_4A,[-],0,0,0,2009,0,0.5,0
3,Ecologie,Algemene fysisch-chemische parameters,NL95_4A,[-],0,0,0,2010,0,0.3,0
3,Ecologie,Algemene fysisch-chemische parameters,NL95_4A,[-],0,0,0,2011,0,0.5,0
3,Ecologie,Algemene fysisch-chemische parameters,NL95_4A,[-],0,0,0,2012,0,0.2,0
3,Ecologie,Algemene fysisch-chemische parameters,NL95_4A,[-],0,0,0,2013,0,0.1,0
3,Ecologie,Algemene fysisch-chemische parameters,NL95_4A,[-],0,0,0,2014,0,0.5,0
3,Ecologie,Algemene fysisch-chemische parameters,Nederland,[-],0,0,0,2009,0,0.38,0
3,Ecologie,Algemene fysisch-chemische parameters,Nederland,[-],0,0,0,2010,0,0.44,0
3,Ecologie,Algemene fysisch-chemische parameters,Nederland,[-],0,0,0,2011,0,0.41,0
3,Ecologie,Algemene fysisch-chemische parameters,Nederland,[-],0,0,0,2012,0,0.41,0
3,Ecologie,Algemene fysisch-chemische parameters,Nederland,[-],0,0,0,2013,0,0.39,0
3,Ecologie,Algemene fysisch-chemische parameters,Nederland,[-],0,0,0,2014,0,0.39,0
4,Ecologie,Overige relevante verontreinigende stoffen,NL81_1,[-],0,0,0,2009,0,1,0
4,Ecologie,Overige relevante verontreinigende stoffen,NL81_1,[-],0,0,0,2010,0,1,0
4,Ecologie,Overige relevante verontreinigende stoffen,NL81_1,[-],0,0,0,2011,0,1,0
4,Ecologie,Overige relevante verontreinigende stoffen,NL81_1,[-],0,0,0,2012,0,1,0
4,Ecologie,Overige relevante verontreinigende stoffen,NL81_1,[-],0,0,0,2013,0,0,0
4,Ecologie,Overige relevante verontreinigende stoffen,NL81_1,[-],0,0,0,2014,0,0,0
4,Ecologie,Overige relevante verontreinigende stoffen,NL81_10,[-],0,0,0,2009,0,1,0
4,Ecologie,Overige relevante verontreinigende stoffen,NL81_10,[-],0,0,0,2010,0,0,0
4,Ecologie,Overige relevante verontreinigende stoffen,NL81_10,[-],0,0,0,2011,0,0,0
4,Ecologie,Overige relevante verontreinigende stoffen,NL81_10,[-],0,0,0,2012,0,1,0
4,Ecologie,Overige relevante verontreinigende stoffen,NL81_10,[-],0,0,0,2013,0,0,0
4,Ecologie,Overige relevante verontreinigende stoffen,NL81_10,[-],0,0,0,2014,0,0,0
4,Ecologie,Overige relevante verontreinigende stoffen,NL81_2,[-],0,0,0,2009,0,1,0
4,Ecologie,Overige relevante verontreinigende stoffen,NL81_2,[-],0,0,0,2010,0,1,0
4,Ecologie,Overige relevante verontreinigende stoffen,NL81_2,[-],0,0,0,2011,0,0,0
4,Ecologie,Overige relevante verontreinigende stoffen,NL81_2,[-],0,0,0,2012,0,0,0
4,Ecologie,Overige relevante verontreinigende stoffen,NL81_2,[-],0,0,0,2013,0,1,0
