ID_PI,KPI,PI,Gebied,Eenheid,Ref_value_month_2,Ref_value_month_0,Ref_value_month_minus2,Date,Value,Score,Abs
1,Chemie,Chemische toestand,NL89_antwknpd,,0,0,0,2014,0,1,0
1,Chemie,Prioritaire stoffen,NL89_antwknpd,,0,0,0,2014,0,1,0
1,Chemie,Chemische toestand,NL89_spuiknl,,0,0,0,2014,0,1,0
1,Chemie,Prioritaire stoffen,NL89_spuiknl,,0,0,0,2014,0,1,0
1,Chemie,Chemische toestand,NL89_volkerak,,0,0,0,2014,0,1,0
1,Chemie,Prioritaire stoffen,NL89_volkerak,,0,0,0,2014,0,1,0
1,Chemie,Chemische toestand,NL89_zoommedt,,0,0,0,2014,0,1,0
1,Chemie,Prioritaire stoffen,NL89_zoommedt,,0,0,0,2014,0,1,0
1,Chemie,Chemische toestand,NL81_3,,0,0,0,2014,0,0,0
1,Chemie,Prioritaire stoffen,NL81_3,,0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL89_grevlemr,,0,0,0,2014,0,0,0
1,Chemie,Prioritaire stoffen,NL89_grevlemr,,0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL89_veersmr,,0,0,0,2014,0,0,0
1,Chemie,Prioritaire stoffen,NL89_veersmr,,0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL92_IJSSELMEER,,0,0,0,2014,0,0,0
1,Chemie,Prioritaire stoffen,NL92_IJSSELMEER,,0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL92_RANDMEREN_ZUID,,0,0,0,2014,0,0,0
1,Chemie,Prioritaire stoffen,NL92_RANDMEREN_ZUID,,0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL81_1,,0,0,0,2014,0,0,0
1,Chemie,Prioritaire stoffen,NL81_1,,0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL81_10,,0,0,0,2014,0,0,0
1,Chemie,Prioritaire stoffen,NL81_10,,0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL81_2,,0,0,0,2014,0,0,0
1,Chemie,Prioritaire stoffen,NL81_2,,0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL86_5,,0,0,0,2014,0,0,0
1,Chemie,Prioritaire stoffen,NL86_5,,0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL86_6,,0,0,0,2014,0,0,0
1,Chemie,Prioritaire stoffen,NL86_6,,0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL87_1,,0,0,0,2014,0,0,0
1,Chemie,Prioritaire stoffen,NL87_1,,0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL89_kantnzgt,,0,0,0,2014,0,0,0
1,Chemie,Prioritaire stoffen,NL89_kantnzgt,,0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL89_oostsde,,0,0,0,2014,0,0,0
1,Chemie,Prioritaire stoffen,NL89_oostsde,,0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL89_westsde,,0,0,0,2014,0,0,0
1,Chemie,Prioritaire stoffen,NL89_westsde,,0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL89_zwin,,0,0,0,2014,0,0,0
1,Chemie,Prioritaire stoffen,NL89_zwin,,0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL90_1,,0,0,0,2014,0,0,0
1,Chemie,Prioritaire stoffen,NL90_1,,0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL91JK,,0,0,0,2014,0,0,0
1,Chemie,Prioritaire stoffen,NL91JK,,0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL91MWK,,0,0,0,2014,0,0,0
1,Chemie,Prioritaire stoffen,NL91MWK,,0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL92_KETELMEER_VOSSEMEER,,0,0,0,2014,0,0,0
1,Chemie,Prioritaire stoffen,NL92_KETELMEER_VOSSEMEER,,0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL92_MARKERMEER,,0,0,0,2014,0,0,0
1,Chemie,Prioritaire stoffen,NL92_MARKERMEER,,0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL92_RANDMEREN_OOST,,0,0,0,2014,0,0,0
1,Chemie,Prioritaire stoffen,NL92_RANDMEREN_OOST,,0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL92_ZWARTEMEER,,0,0,0,2014,0,0,0
1,Chemie,Prioritaire stoffen,NL92_ZWARTEMEER,,0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL93_TWENTHEKANALEN,,0,0,0,2014,0,0,0
1,Chemie,Prioritaire stoffen,NL93_TWENTHEKANALEN,,0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL94_11,,0,0,0,2014,0,0,0
1,Chemie,Prioritaire stoffen,NL94_11,,0,0,0,2014,0,0,0
1,Chemie,Chemische toestand,NL94_8,,0,0,0,2014,0,0,0
1,Chemie,Prioritaire stoffen,NL94_8,,0,0,0,2014,0,0,0
